method,time
result_naive,5.0312856999225914
result_naive,5.057799800066277
result_naive,5.015296499943361
result_naive,5.018227100139484
result_naive,5.046647900016978
result_naive,5.024943099822849
result_naive,5.036538999993354
result_naive,5.08663640008308
result_naive,5.056904900120571
result_naive,5.030779200140387
results_vector,0.6454197999555618
results_vector,0.613116400083527
results_vector,0.7531894999556243
results_vector,0.7223789000418037
results_vector,0.7324965000152588
results_vector,0.6106412999797612
results_vector,0.7390658999793231
results_vector,0.743914799997583
results_vector,0.6092481000814587
results_vector,0.7219561999663711
results_njit,0.30772639997303486
results_njit,2.159993164241314e-05
results_njit,1.1699972674250603e-05
results_njit,1.1400086805224419e-05
results_njit,1.090019941329956e-05
results_njit,1.0899966582655907e-05
results_njit,1.0899966582655907e-05
results_njit,1.0699965059757233e-05
results_njit,1.0699965059757233e-05
results_njit,1.0699965059757233e-05
results_dask,2.678929300047457
results_dask,2.701866599963978
results_dask,2.740211100084707
results_dask,2.6504055000841618
results_dask,2.730798600008711
results_dask,2.6977384998463094
results_dask,2.6989427998196334
results_dask,2.6732106001581997
results_dask,2.6843005002010614
results_dask,2.717693200102076
results_parallel,0.31035410007461905
results_parallel,0.5161255998536944
results_parallel,0.3483933999668807
results_parallel,0.41340740001760423
results_parallel,0.2667908000294119
results_parallel,0.25561170000582933
results_parallel,0.3697054998483509
results_parallel,0.3094828000757843
results_parallel,0.2969327000901103
results_parallel,0.2475370999891311
